,U_1t_sim
0,0.2988677897772399
1,0.558297012668824
2,0.7579153114632341
3,0.8300854218761144
4,0.7987478855374617
5,0.6605914512620491
6,0.45019591777015244
7,0.2949521015056221
8,0.2637502588955898
9,0.36732699612867853
10,0.5948517705276934
11,0.8094649791532873
12,0.903494952033493
13,0.9072802811931041
14,0.8179054110830797
15,0.5758071881422795
16,0.2857424944844994
17,0.13667972771695552
18,0.10865120837768116
19,0.16073737161534846
20,0.29289501657918937
21,0.43895706630512493
22,0.48515781590092766
23,0.3938162380854898
24,0.23068560388378878
25,0.11817802142392508
26,0.09144830451393399
27,0.1564269387076162
28,0.40199570450786637
29,0.7615653677098603
30,0.9346345751466489
31,0.966036146716621
32,0.9341026817558713
33,0.7470450649737733
34,0.35769185779125623
35,0.1247987805732011
36,0.0890481482336043
37,0.20125809725754368
38,0.5783021409234194
39,0.9112662585568614
40,0.9838590734994946
41,0.9870852963749362
42,0.9384609487996753
43,0.6253342904416547
44,0.16219030363671627
45,0.02929894331755659
46,0.018519909697958765
47,0.06023799623743933
48,0.2816167501706952
49,0.6475970753517037
50,0.8106040921792823
51,0.7572897117429863
52,0.4639372435344492
53,0.12828770386400212
54,0.02475588606595148
55,0.014235723777145043
56,0.04715359013446503
57,0.2821044124550849
58,0.7579697941636829
59,0.9549992232250506
60,0.9814114148085531
61,0.9646812404206748
62,0.8632501453622197
63,0.6365349090573615
64,0.48607565668804
65,0.5593656307354149
66,0.7956099466569454
67,0.952334811290701
68,0.9874607838876484
69,0.9858538088215129
70,0.922218113832161
71,0.5440411954930229
72,0.0929050573018737
73,0.00787169398832582
74,0.002288307630952286
75,0.00581604154952855
76,0.04472295630174818
77,0.22412331822177206
78,0.4603547211733281
79,0.5216110192662629
80,0.3982820117816597
81,0.223188578034608
82,0.13979969745416476
83,0.17946378945872082
84,0.42503395686789
85,0.8216042476272807
86,0.9793626889687533
87,0.9971248867663018
88,0.9975725076137887
89,0.9857267236661924
90,0.8692208928247351
91,0.5038005050350024
92,0.22063031672761452
93,0.15717242851258928
94,0.2307048291473811
95,0.41488429976336744
96,0.5843818154849145
97,0.6068066890916796
98,0.450113942483819
99,0.2024700536847029
100,0.060646353649788334
101,0.025422245856566453
102,0.0324253436667529
103,0.10637269964713508
104,0.3546120831011179
105,0.6724441733792722
106,0.8223427507367593
107,0.8248320021966726
108,0.712585859812183
109,0.5225890286061257
110,0.38947767892752433
111,0.4039046727918419
112,0.5759909097323848
113,0.8027382254200544
114,0.9258530815134509
115,0.9549284635566363
116,0.9269075344224927
117,0.7799777732218203
118,0.45041852194349136
119,0.17418697521282728
120,0.07802015686381632
121,0.07119192073797656
122,0.12285496925544737
123,0.2403463563145018
124,0.37089497283267114
125,0.4282263751104777
126,0.3962759315281016
127,0.32773616954522256
128,0.2939194746593172
129,0.34300070469882243
130,0.4966942774023979
131,0.7021448879127472
132,0.8428857907099273
133,0.8883550408265566
134,0.8562613980068003
135,0.7236568236420152
136,0.4964500767383288
137,0.3062313498723306
138,0.23870973834053338
139,0.28718231947086226
140,0.4393495731156043
141,0.6252555455424612
142,0.7404368210907684
143,0.7570075259753424
144,0.685909360581892
145,0.5554451536880691
146,0.438834076506717
147,0.3995451342872408
148,0.4460110923643811
149,0.5400129430997683
150,0.608469560560281
151,0.5895841156212487
152,0.4592803519726647
153,0.26796999362913054
154,0.13283016789322655
155,0.0892092350981546
156,0.12294166271406032
157,0.2859583219769101
158,0.6014055180597344
159,0.8451717422855757
