"","x"
"1",0.18542834898411
"2",0.28530499267263
"3",0.366588078086907
"4",0.402452848114351
"5",0.370167058145959
"6",0.258674245640824
"7",0.0740742702537196
"8",-0.159141780255027
"9",-0.402064947311618
"10",-0.609862222631924
"11",-0.742555710543803
"12",-0.774979122340463
"13",-0.70295097597208
"14",-0.543849542382961
"15",-0.331527890083297
"16",-0.107253048251565
"17",0.0905155539711128
"18",0.234545709947425
"19",0.313320604265068
"20",0.330918141386283
"21",0.303108127887421
"22",0.25150640832433
"23",0.19783576279962
"24",0.159783133439267
"25",0.148947037997768
"26",0.170418604910047
"27",0.223048042116031
"28",0.299586890694748
"29",0.386529723003946
"30",0.464235480770035
"31",0.508353990082353
"32",0.49342065761377
"33",0.398694897136646
"34",0.215190330901541
"35",-0.0481439938620829
"36",-0.361504685894064
"37",-0.676473610395738
"38",-0.933964530043233
"39",-1.07663913167045
"40",-1.0629258702134
"41",-0.878891061881806
"42",-0.544437446022017
"43",-0.111644965082224
"44",0.344846658124809
"45",0.743306424971819
"46",1.01246635661626
"47",1.10679027254552
"48",1.01570671871849
"49",0.764702632092784
"50",0.408344016072891
"51",0.0173429370024684
"52",-0.336848626717539
"53",-0.596108750109775
"54",-0.725290596996104
"55",-0.715831701806181
"56",-0.583458504263014
"57",-0.36159073704944
"58",-0.0928500983616973
"59",0.17895759553889
"60",0.414769200557851
"61",0.583606255288916
"62",0.663890756595495
"63",0.643886458203752
"64",0.52235586493143
"65",0.30987185549078
"66",0.0302855721104845
"67",-0.278938818323385
"68",-0.569057928822981
"69",-0.786082049869627
"70",-0.880365928309153
"71",-0.818146425725255
"72",-0.592187217200272
"73",-0.228222568795527
"74",0.215514014362922
"75",0.656787124838876
"76",1.00480071078595
"77",1.17938577550138
"78",1.12939331133921
"79",0.845657368715412
"80",0.365134158800822
"81",-0.234951256420626
"82",-0.851581303696894
"83",-1.37559053509867
"84",-1.71198469541034
"85",-1.79667244682791
"86",-1.60664913953955
"87",-1.16251383505578
"88",-0.523946055528693
"89",0.220083377638906
"90",0.964232929475603
"91",1.60098069487443
"92",2.0347420340387
"93",2.19492700393587
"94",2.04691384885907
"95",1.59955771046509
"96",0.907510381284075
"97",0.0667288227043968
"98",-0.797602730013251
"99",-1.54993687903152
"100",-2.06729671608687
"101",-2.2619489404467
"102",-2.09883510397151
"103",-1.603489735063
"104",-0.858193382348739
"105",0.0130887030483682
"106",0.86767943739685
"107",1.56991810268376
"108",2.01408674331596
"109",2.1400889079542
"110",1.93961269180694
"111",1.45298480168637
"112",0.75889988915445
"113",-0.0398342342208202
"114",-0.831541431660683
"115",-1.50982376858828
"116",-1.9856072638567
"117",-2.19681224478799
"118",-2.11548528713142
"119",-1.75184547742086
"120",-1.15423430422196
"121",-0.403905959090021
"122",0.395743274679757
"123",1.13459134534589
"124",1.71339844612441
"125",2.0600279603493
"126",2.14055489978941
"127",1.96259502436518
"128",1.57020889919395
"129",1.03206829593377
"130",0.426400139376737
"131",-0.17311636066427
"132",-0.707066179211642
"133",-1.13404518697041
"134",-1.429094012595
"135",-1.57924976555207
"136",-1.57929694571427
"137",-1.43012918327908
"138",-1.14047852533755
"139",-0.730852787416244
"140",-0.237157870333997
"141",0.288756525105439
"142",0.783399163579577
"143",1.18073893168843
"144",1.42413799989585
"145",1.47789127626775
"146",1.33503881030725
"147",1.01918693977062
"148",0.579895072396175
"149",0.0830665349438776
"150",-0.400949018944063
"151",-0.808569740567286
"152",-1.09125822129788
"153",-1.21991207158535
"154",-1.18573662318258
"155",-0.998788870165947
"156",-0.685472047999925
"157",-0.285730022793525
"158",0.150084679738872
"159",0.565263638416571
"160",0.902352085710354
"161",1.11041751854049
"162",1.15320462307652
"163",1.01659036396095
"164",0.713390608761369
"165",0.283864973878969
"166",-0.208838770311662
"167",-0.687855728613265
"168",-1.07482699213268
"169",-1.30291621196479
"170",-1.32824804937769
"171",-1.13781240946518
"172",-0.752614008458093
"173",-0.225654535853128
"174",0.364962358884848
"175",0.926965860379113
"176",1.3676122967095
"177",1.60844728217457
"178",1.59905997366594
"179",1.32750717113655
"180",0.825170382776384
"181",0.16440845980569
"182",-0.551466860603418
"183",-1.20479536028828
"184",-1.68404686997089
"185",-1.90429134728162
"186",-1.82344457768489
"187",-1.45077416173673
"188",-0.845763580612697
"189",-0.107545997003328
"190",0.642837843868877
"191",1.28367326702724
"192",1.71312952798817
"193",1.86546937740099
"194",1.72045616084268
"195",1.30502509582921
"196",0.687686208953661
"197",-0.0328739994406009
"198",-0.743001712987535
"199",-1.33095664717029
"200",-1.70337356297797
"201",-1.79932023896939
"202",-1.60011032864563
"203",-1.13330072619737
"204",-0.469840415176982
"205",0.285780036861421
"206",1.01136523750271
"207",1.58660222017392
"208",1.91320423743569
"209",1.93203241546402
"210",1.63397987677198
"211",1.06248031476392
"212",0.307055560729721
"213",-0.511020843910508
"214",-1.25846693780598
"215",-1.81179640593229
"216",-2.07760541018536
"217",-2.00811981605364
"218",-1.60957845457548
"219",-0.942102145857495
"220",-0.110911781948628
"221",0.749989553554123
"222",1.49936503195302
"223",2.01222784988522
"224",2.20136901578308
"225",2.03304582161664
"226",1.53370497085319
"227",0.78610810978241
"228",-0.0847695164631925
"229",-0.933606915021451
"230",-1.62024958156638
"231",-2.03395895647721
"232",-2.11181221024319
"233",-1.84801101139701
"234",-1.29285749709276
"235",-0.542268292086743
"236",0.279606957480544
"237",1.0411669414292
"238",1.62395764169865
"239",1.94008157196402
"240",1.94432206145826
"241",1.63982255164701
"242",1.07694131419049
"243",0.345527597091507
"244",-0.438542284206149
"245",-1.15104818359767
"246",-1.67903316541408
"247",-1.93934367434425
"248",-1.89279810508744
"249",-1.55104325077636
"250",-0.974330689866141
"251",-0.260275197083239
"252",0.474290408590666
"253",1.11457070125674
"254",1.56762129981583
"255",1.77661393636425
"256",1.72698989837412
"257",1.4441040174851
"258",0.984062957458749
"259",0.420854106691423
"260",-0.166826290695272
"261",-0.706374967296867
"262",-1.13843043362196
"263",-1.42052807811802
"264",-1.52837198060747
"265",-1.45601072766419
"266",-1.21568150123741
"267",-0.837236158858747
"268",-0.366372994470817
"269",0.139251067865935
"270",0.616454469723792
"271",1.00499897501986
"272",1.25662093956462
"273",1.3426187853299
"274",1.25814030233755
"275",1.02212537787283
"276",0.673031660015517
"277",0.261561562334447
"278",-0.157769667979919
"279",-0.534408305534968
"280",-0.827631489178934
"281",-1.01007096059271
"282",-1.06913172363301
"283",-1.00685219227201
"284",-0.838653824299259
"285",-0.591109486934098
"286",-0.298608124492202
"287",0.00116125102910682
"288",0.272596905800311
"289",0.487582232518639
"290",0.629629970265934
"291",0.695545106485923
"292",0.69396410133434
"293",0.641107853323628
"294",0.555085824110522
"295",0.450671208381512
"296",0.33633208687249
"297",0.214442752084231
"298",0.0843259498423969
"299",-0.0533909360833764
"300",-0.193179165625397
"301",-0.3235238416059
"302",-0.429010667513166
"303",-0.494829206913388
"304",-0.511812566625877
"305",-0.479807177804775
"306",-0.407814613143367
"307",-0.310719623720424
"308",-0.203930789076092
"309",-0.0982402242032374
"310",0.00280808429477269
"311",0.101806452880045
"312",0.203064890157307
"313",0.306892819904819
"314",0.405346318133576
"315",0.481762191610889
"316",0.514874628320571
"317",0.486306193936029
"318",0.388590564431847
"319",0.230356061062707
"320",0.036177824524571
"321",-0.159393093994576
"322",-0.321771569841512
"323",-0.426675160031553
"324",-0.466926159702692
"325",-0.45301924314006
"326",-0.407134586369669
"327",-0.352881161242962
"328",-0.304834558126123
"329",-0.262139432877482
"330",-0.208945320716288
"331",-0.121787781684675
"332",0.01875734668586
"333",0.216631046641264
"334",0.45365243365299
"335",0.690612351938543
"336",0.876213614697293
"337",0.961082221487723
"338",0.912205600276044
"339",0.723001307528509
"340",0.415807739849575
"341",0.0362770011605705
"342",-0.358100844628183
"343",-0.711326712420443
"344",-0.979845269857167
"345",-1.13822510330674
"346",-1.17892782726771
"347",-1.10776608555753
"348",-0.937992073197578
"349",-0.685940031774064
"350",-0.369883844829901
"351",-0.0118832491811528
"352",0.359274402373865
"353",0.70665760812653
"354",0.987408552455872
"355",1.15917817789843
"356",1.18946160119368
"357",1.06502903584923
"358",0.798181768017923
"359",0.427319077949205
"360",0.0110055724946877
"361",-0.383245006633201
"362",-0.692624313363263
"363",-0.871587968095154
"364",-0.900212019791886
"365",-0.786563870185481
"366",-0.563016991354149
"367",-0.277966023954078
"368",0.0146933316940374
"369",0.265826947629473
"370",0.439101747362359
"371",0.515708509735525
"372",0.495548281492984
"373",0.395297621942044
"374",0.244092695163262
"375",0.0776644516518087
"376",-0.0682402149901232
"377",-0.164292854284574
"378",-0.192955269106347
"379",-0.151856156293762
"380",-0.0543919832397891
"381",0.0728293904170049
"382",0.195460613543028
"383",0.278852917086796
"384",0.295931653498489
"385",0.233733991956157
"386",0.0970336917386443
"387",-0.0918994028636494
"388",-0.297469787942808
"389",-0.478005156401447
"390",-0.594524697510792
"391",-0.619135111766658
"392",-0.541260629453135
"393",-0.370389429266514
"394",-0.134744762555232
"395",0.123894147873921
"396",0.358240691030522
"397",0.524868027677742
"398",0.593050453450063
"399",0.551274542950133
"400",0.410004709664305
"401",0.199986687812703
"402",-0.0337262759272817
"403",-0.240909939035693
"404",-0.376608420611187
"405",-0.41065501270225
"406",-0.334196963111753
"407",-0.161789717368738
"408",0.0713795240868013
"409",0.316487111621342
"410",0.520730101309405
"411",0.637594837764985
"412",0.635700201775048
"413",0.504641680716419
"414",0.256996066805623
"415",-0.0735746404916531
"416",-0.437546839845463
"417",-0.777116780497034
"418",-1.03500065640654
"419",-1.16329117624927
"420",-1.13124634147156
"421",-0.930949798143383
"422",-0.579906944120272
"423",-0.11990639673493
"424",0.388053812865503
"425",0.872315253181104
"426",1.26139109705824
